<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
MOBB;D;20/06/17;000000;4.6200000
MOBB;D;21/06/17;000000;4.6500000
MOBB;D;22/06/17;000000;4.7300000
MOBB;D;23/06/17;000000;4.9100000
MOBB;D;26/06/17;000000;4.7600000
MOBB;D;27/06/17;000000;4.7800000
MOBB;D;28/06/17;000000;4.7400000
MOBB;D;29/06/17;000000;4.6600000
MOBB;D;30/06/17;000000;4.7000000
MOBB;D;03/07/17;000000;4.6100000
MOBB;D;04/07/17;000000;4.5400000
MOBB;D;05/07/17;000000;4.4800000
MOBB;D;06/07/17;000000;4.4400000
MOBB;D;07/07/17;000000;4.4300000
MOBB;D;10/07/17;000000;4.4000000
MOBB;D;11/07/17;000000;4.2700000
MOBB;D;12/07/17;000000;4.1900000
MOBB;D;13/07/17;000000;4.1600000
MOBB;D;14/07/17;000000;4.1400000
MOBB;D;17/07/17;000000;4.1700000
MOBB;D;18/07/17;000000;4.1700000
MOBB;D;19/07/17;000000;4.1400000
MOBB;D;20/07/17;000000;4.1600000
MOBB;D;21/07/17;000000;4.0800000
MOBB;D;24/07/17;000000;4.0600000
MOBB;D;25/07/17;000000;3.9700000
MOBB;D;26/07/17;000000;3.9700000
MOBB;D;27/07/17;000000;3.9300000
MOBB;D;28/07/17;000000;3.9100000
MOBB;D;31/07/17;000000;3.7600000
MOBB;D;01/08/17;000000;3.8100000
MOBB;D;02/08/17;000000;4.0100000
MOBB;D;03/08/17;000000;3.9500000
MOBB;D;04/08/17;000000;3.8800000
MOBB;D;07/08/17;000000;3.8900000
MOBB;D;08/08/17;000000;3.8700000
MOBB;D;09/08/17;000000;3.8000000
MOBB;D;10/08/17;000000;3.7600000
MOBB;D;11/08/17;000000;3.6900000
MOBB;D;14/08/17;000000;3.8000000
MOBB;D;15/08/17;000000;3.7600000
MOBB;D;16/08/17;000000;3.6900000
MOBB;D;17/08/17;000000;3.7400000
MOBB;D;18/08/17;000000;3.7000000
MOBB;D;21/08/17;000000;3.7200000
MOBB;D;22/08/17;000000;3.8000000
MOBB;D;23/08/17;000000;3.7600000
MOBB;D;24/08/17;000000;3.7000000
MOBB;D;25/08/17;000000;3.7700000
MOBB;D;28/08/17;000000;3.7300000
MOBB;D;29/08/17;000000;3.7400000
MOBB;D;30/08/17;000000;3.6500000
MOBB;D;31/08/17;000000;3.6100000
MOBB;D;01/09/17;000000;3.5500000
MOBB;D;04/09/17;000000;3.6100000
MOBB;D;05/09/17;000000;3.5000000
MOBB;D;06/09/17;000000;3.5000000
MOBB;D;07/09/17;000000;3.5000000
MOBB;D;08/09/17;000000;3.4700000
MOBB;D;11/09/17;000000;3.5000000
MOBB;D;12/09/17;000000;3.4700000
MOBB;D;13/09/17;000000;3.4400000
MOBB;D;14/09/17;000000;3.3900000
MOBB;D;15/09/17;000000;3.3500000
MOBB;D;18/09/17;000000;3.4000000
MOBB;D;19/09/17;000000;3.4100000
MOBB;D;20/09/17;000000;3.4100000
MOBB;D;21/09/17;000000;3.3800000
MOBB;D;22/09/17;000000;3.3700000
MOBB;D;25/09/17;000000;3.3900000
MOBB;D;26/09/17;000000;3.3700000
MOBB;D;27/09/17;000000;3.3400000
MOBB;D;28/09/17;000000;3.3300000
MOBB;D;29/09/17;000000;3.3400000
MOBB;D;02/10/17;000000;3.3300000
MOBB;D;03/10/17;000000;3.2900000
MOBB;D;04/10/17;000000;3.2300000
MOBB;D;05/10/17;000000;3.2100000
MOBB;D;06/10/17;000000;3.1400000
MOBB;D;09/10/17;000000;3.2200000
MOBB;D;10/10/17;000000;3.1800000
MOBB;D;11/10/17;000000;3.0000000
MOBB;D;12/10/17;000000;3.0200000
MOBB;D;13/10/17;000000;3.0200000
MOBB;D;16/10/17;000000;2.9800000
MOBB;D;17/10/17;000000;2.9700000
MOBB;D;18/10/17;000000;2.9700000
MOBB;D;19/10/17;000000;2.9900000
