<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;08/11/17;000000;132.3000000
GAZP;D;09/11/17;000000;131.5000000
GAZP;D;10/11/17;000000;132.5000000
GAZP;D;13/11/17;000000;133.3200000
GAZP;D;14/11/17;000000;132.9300000
GAZP;D;15/11/17;000000;131.2100000
GAZP;D;16/11/17;000000;129.2000000
GAZP;D;17/11/17;000000;129.6500000
GAZP;D;20/11/17;000000;129.9600000
GAZP;D;21/11/17;000000;132.4900000
GAZP;D;22/11/17;000000;132.5700000
GAZP;D;23/11/17;000000;131.6000000
GAZP;D;24/11/17;000000;133.5700000
GAZP;D;27/11/17;000000;133.5000000
GAZP;D;28/11/17;000000;135.1800000
GAZP;D;29/11/17;000000;133.5500000
GAZP;D;30/11/17;000000;132.1500000
GAZP;D;01/12/17;000000;133.0200000
